Rank	Gene	Entrez ID	Coexpression Score	P-Value	Description
62	NHP2L1	4809	2.5100	0.0085	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)
63	KRT14	3861	2.5100	0.0002	keratin 14
64	CARM1	10498	2.5100	0.0063	coactivator-associated arginine methyltransferase 1
65	TTI1	9675	2.5000	0.0056	TELO2 interacting protein 1
66	OGT	8473	2.5000	0.0071	O-linked N-acetylglucosamine (GlcNAc) transferase
67	TIMP3	7078	2.5000	0.0041	TIMP metallopeptidase inhibitor 3
68	SCNN1A	6337	2.5000	0.0038	sodium channel, non-voltage-gated 1 alpha subunit
69	PPP2R5D	5528	2.5000	0.0050	protein phosphatase 2, regulatory subunit B, delta
70	P2RX5	5026	2.5000	0.0003	purinergic receptor P2X, ligand-gated ion channel, 5
71	CLEC16A	23274	2.5000	0.0005	C-type lectin domain family 16, member A
72	PHF14	9678	2.4900	0.0022	PHD finger protein 14
73	SRP72	6731	2.4900	0.0181	signal recognition particle 72kDa
74	MYEOV2	150678	2.4900	0.0000	myeloma overexpressed 2
75	C1ORF85	112770	2.4900	0.0039	chromosome 1 open reading frame 85
76	CCDC102A	92922	2.4800	0.0005	coiled-coil domain containing 102A
77	ASCC2	84164	2.4800	0.0035	activating signal cointegrator 1 complex subunit 2
78	PIAS4	51588	2.4800	0.0020	protein inhibitor of activated STAT, 4
79	ANXA11	311	2.4700	0.0029	annexin A11
80	GMDS	2762	2.4700	0.0002	GDP-mannose 4,6-dehydratase
81	SYT11	23208	2.4700	0.0018	synaptotagmin XI
82	SCGB3A1	92304	2.4600	0.0000	secretoglobin, family 3A, member 1
83	ATRN	8455	2.4600	0.0023	attractin
84	RGNEF	64283	2.4600	0.0001	190 kDa guanine nucleotide exchange factor
85	DUOXA2	405753	2.4600	0.0025	dual oxidase maturation factor 2
86	DHRS1	115817	2.4600	0.0021	dehydrogenase/reductase (SDR family) member 1
87	ZMYM5	9205	2.4500	0.0034	zinc finger, MYM-type 5
88	DYNLRB1	83658	2.4500	0.0057	dynein, light chain, roadblock-type 1
89	IP6K2	51447	2.4500	0.0012	inositol hexakisphosphate kinase 2
90	MYOF	26509	2.4500	0.0081	myoferlin
91	CLIP3	25999	2.4500	0.0223	CAP-GLY domain containing linker protein 3
92	SPRED2	200734	2.4500	0.0004	sprouty-related, EVH1 domain containing 2
93	PPFIBP2	8495	2.4400	0.0007	PTPRF interacting protein, binding protein 2 (liprin beta 2)
94	UBC	7316	2.4400	0.0002	ubiquitin C
95	SPG7	6687	2.4400	0.0140	spastic paraplegia 7 (pure and complicated autosomal recessive)
96	RYK	6259	2.4400	0.0024	receptor-like tyrosine kinase
97	TAF1L	138474	2.4400	0.0012	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa-like
98	MXD4	10608	2.4400	0.0216	MAX dimerization protein 4
99	TGFB2	7042	2.4300	0.0035	transforming growth factor, beta 2
100	PSMC4	5704	2.4300	0.0211	proteasome (prosome, macropain) 26S subunit, ATPase, 4
101	FKBP1A	2280	2.4300	0.0004	FK506 binding protein 1A, 12kDa
102	LYPLA2	11313	2.4300	0.0015	lysophospholipase II
103	ZBTB45	84878	2.4200	0.0021	zinc finger and BTB domain containing 45
104	UBE2G1	7326	2.4200	0.0079	ubiquitin-conjugating enzyme E2G 1
105	CRTAP	10491	2.4200	0.0045	cartilage associated protein
106	CD68	968	2.4100	0.0050	CD68 molecule
107	USMG5	84833	2.4100	0.0045	up-regulated during skeletal muscle growth 5 homolog (mouse)
108	SLC12A9	56996	2.4100	0.0207	solute carrier family 12 (potassium/chloride transporters), member 9
109	C12ORF40	283461	2.4100	0.0000	chromosome 12 open reading frame 40
110	AMACR	23600	2.4100	0.0000	alpha-methylacyl-CoA racemase
111	DNASE2	1777	2.4100	0.0050	deoxyribonuclease II, lysosomal
112	CEBPB	1051	2.4100	0.0077	CCAAT/enhancer binding protein (C/EBP), beta
113	ZRANB2	9406	2.4000	0.0195	zinc finger, RAN-binding domain containing 2
114	CHMP6	79643	2.4000	0.0060	charged multivesicular body protein 6
115	SLC1A7	6512	2.4000	0.0003	solute carrier family 1 (glutamate transporter), member 7
116	BBX	56987	2.4000	0.0155	bobby sox homolog (Drosophila)
117	MXRA8	54587	2.4000	0.0220	matrix-remodelling associated 8
118	KCNH2	3757	2.4000	0.0008	potassium voltage-gated channel, subfamily H (eag-related), member 2
119	SLCO1B1	10599	2.4000	0.0000	solute carrier organic anion transporter family, member 1B1
120	SGK2	10110	2.4000	0.0000	serum/glucocorticoid regulated kinase 2
121	DNAJC5	80331	2.3900	0.0023	DnaJ (Hsp40) homolog, subfamily C, member 5
122	CAPN5	726	2.3900	0.0016	calpain 5
123	PROC	5624	2.3900	0.0015	protein C (inactivator of coagulation factors Va and VIIIa)
124	PLIN1	5346	2.3900	0.0023	perilipin 1
125	RPGR	6103	2.3800	0.0017	retinitis pigmentosa GTPase regulator
126	RBM4	5936	2.3800	0.0002	RNA binding motif protein 4
127	ZSCAN2	54993	2.3800	0.0015	zinc finger and SCAN domain containing 2
128	CHRNA1	1134	2.3800	0.0001	cholinergic receptor, nicotinic, alpha 1 (muscle)
129	CCT7	10574	2.3800	0.0677	chaperonin containing TCP1, subunit 7 (eta)
130	MAEA	10296	2.3800	0.0096	macrophage erythroblast attacher
131	TBL1X	6907	2.3700	0.0004	transducin (beta)-like 1X-linked
132	RPS23	6228	2.3700	0.0019	ribosomal protein S23
133	FASTKD5	60493	2.3700	0.0024	FAST kinase domains 5
134	C22ORF31	25770	2.3700	0.0013	chromosome 22 open reading frame 31
135	SLC7A3	84889	2.3600	0.0002	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3
136	FZD5	7855	2.3600	0.0004	frizzled family receptor 5
137	CCDC169	728591	2.3600	0.0010	coiled-coil domain containing 169
138	RPS6KA3	6197	2.3600	0.0036	ribosomal protein S6 kinase, 90kDa, polypeptide 3
139	CDR2L	30850	2.3600	0.0014	cerebellar degeneration-related protein 2-like
140	SCAP	22937	2.3600	0.0202	SREBF chaperone
141	ATF5	22809	2.3600	0.0005	activating transcription factor 5
142	CARD16	114769	2.3600	0.0091	caspase recruitment domain family, member 16
143	BTN3A3	10384	2.3600	0.0243	butyrophilin, subfamily 3, member A3
144	NET1	10276	2.3600	0.0008	neuroepithelial cell transforming 1
145	TCEAL1	9338	2.3500	0.0119	transcription elongation factor A (SII)-like 1
146	HEATR6	63897	2.3500	0.0016	HEAT repeat containing 6
147	NAA20	51126	2.3500	0.0133	N(alpha)-acetyltransferase 20, NatB catalytic subunit
148	ZNF558	148156	2.3500	0.0032	zinc finger protein 558
149	R3HDML	140902	2.3500	0.0002	R3H domain containing-like
150	TMEM185A	84548	2.3400	0.0002	transmembrane protein 185A
151	RCAN1	1827	2.3400	0.0015	regulator of calcineurin 1
152	RNF150	57484	2.3300	0.0006	ring finger protein 150
153	CDKL3	51265	2.3300	0.0080	cyclin-dependent kinase-like 3
154	UBAP1L	390595	2.3300	1.0000	ubiquitin associated protein 1-like
155	GJA5	2702	2.3300	0.0010	gap junction protein, alpha 5, 40kDa
156	AIPL1	23746	2.3300	0.0059	aryl hydrocarbon receptor interacting protein-like 1
157	ZNF827	152485	2.3300	0.0021	zinc finger protein 827
158	ZFAND6	54469	2.3200	0.0107	zinc finger, AN1-type domain 6
159	ATP6V1A	523	2.3200	0.0156	ATPase, H+ transporting, lysosomal 70kDa, V1 subunit A
160	HIST1H2BD	3017	2.3200	0.0018	histone cluster 1, H2bd
161	SLC25A26	115286	2.3200	0.0020	solute carrier family 25 (S-adenosylmethionine carrier), member 26
162	SYNGAP1	8831	2.3100	0.0077	synaptic Ras GTPase activating protein 1
163	RPL32	6161	2.3100	1.0000	ribosomal protein L32
164	RPL13	6137	2.3100	0.0071	ribosomal protein L13
165	STEAP3	55240	2.3100	0.0005	STEAP family member 3, metalloreductase
166	TFB1M	51106	2.3100	0.0030	transcription factor B1, mitochondrial
167	TPCN2	219931	2.3100	0.0006	two pore segment channel 2
168	PRICKLE2	166336	2.3100	0.0087	prickle homolog 2 (Drosophila)
169	PEX11B	8799	2.3000	0.0197	peroxisomal biogenesis factor 11 beta
170	SLC50A1	55974	2.3000	0.0023	solute carrier family 50 (sugar transporter), member 1
171	UQCC	55245	2.3000	0.0018	ubiquinol-cytochrome c reductase complex chaperone
172	MAOA	4128	2.3000	0.0020	monoamine oxidase A
173	ICAM4	3386	2.3000	0.0002	intercellular adhesion molecule 4 (Landsteiner-Wiener blood group)
174	HADHA	3030	2.3000	0.0097	hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit
175	GPER	2852	2.3000	0.0014	G protein-coupled estrogen receptor 1
176	TSPAN10	83882	2.2900	0.0025	tetraspanin 10
177	RPL8	6132	2.2900	0.0181	ribosomal protein L8
178	CTSD	1509	2.2900	0.0399	cathepsin D
179	ADIG	149685	2.2900	0.0054	adipogenin
180	MICAL2	9645	2.2800	0.0035	microtubule associated monoxygenase, calponin and LIM domain containing 2
181	UNC119	9094	2.2800	0.0071	unc-119 homolog (C. elegans)
182	PARP9	83666	2.2800	0.0260	poly (ADP-ribose) polymerase family, member 9
183	TSPAN9	10867	2.2800	0.0048	tetraspanin 9
184	ARPC4	10093	2.2800	0.0199	actin related protein 2/3 complex, subunit 4, 20kDa
185	RSPRY1	89970	2.2700	0.0034	ring finger and SPRY domain containing 1
186	ZMAT1	84460	2.2700	0.0120	zinc finger, matrin-type 1
187	RNF144B	255488	2.2700	0.0008	ring finger protein 144B
188	LRRN4	164312	2.2700	0.0000	leucine rich repeat neuronal 4
189	CD72	971	2.2600	0.0033	CD72 molecule
190	BAG3	9531	2.2600	0.0034	BCL2-associated athanogene 3
191	TMEM41A	90407	2.2600	0.0014	transmembrane protein 41A
192	SRI	6717	2.2600	0.0047	sorcin
193	TASP1	55617	2.2600	0.0026	taspase, threonine aspartase, 1
194	KRT18	3875	2.2600	0.0009	keratin 18
195	CXORF23	256643	2.2600	0.0345	chromosome X open reading frame 23
196	ENTHD1	150350	2.2600	0.0001	ENTH domain containing 1
197	ADC	113451	2.2600	0.0038	arginine decarboxylase
198	CD151	977	2.2500	0.0273	CD151 molecule (Raph blood group)
199	RALGDS	5900	2.2500	0.0058	ral guanine nucleotide dissociation stimulator
200	GRM3	2913	2.2500	0.0020	glutamate receptor, metabotropic 3
201	KIAA1429	25962	2.2500	0.0156	KIAA1429
202	ZBTB9	221504	2.2500	0.0064	zinc finger and BTB domain containing 9
203	CALML6	163688	2.2500	0.0002	calmodulin-like 6
204	AP1S1	1174	2.2500	0.0047	adaptor-related protein complex 1, sigma 1 subunit
205	RAB42	115273	2.2500	0.0000	RAB42, member RAS oncogene family
206	ADCK4	79934	2.2400	0.0095	aarF domain containing kinase 4
207	LRCH4	4034	2.2400	0.0618	leucine-rich repeats and calponin homology (CH) domain containing 4
208	TRIM5	85363	2.2300	0.0038	tripartite motif containing 5
209	BAIAP2L2	80115	2.2300	0.0043	BAI1-associated protein 2-like 2
210	LGALS3	3958	2.2300	0.0091	lectin, galactoside-binding, soluble, 3
211	FBXO33	254170	2.2300	0.0039	F-box protein 33
212	TP53RK	112858	2.2300	0.0064	TP53 regulating kinase
213	MGEA5	10724	2.2300	0.0442	meningioma expressed antigen 5 (hyaluronidase)
214	CENPBD1	92806	2.2200	0.0025	CENPB DNA-binding domains containing 1
215	PRIC285	85441	2.2200	0.0219	peroxisomal proliferator-activated receptor A interacting complex 285
216	PARP8	79668	2.2200	0.0040	poly (ADP-ribose) polymerase family, member 8
217	SLC3A2	6520	2.2200	0.0095	solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2
218	PET112	5188	2.2200	0.0064	PET112 homolog (yeast)
219	DUSP4	1846	2.2200	0.0007	dual specificity phosphatase 4
220	SLC35F3	148641	2.2200	0.0000	solute carrier family 35, member F3
221	MATR3	9782	2.2100	0.0999	matrin 3
222	LRRC61	65999	2.2100	0.0008	leucine rich repeat containing 61
223	C3ORF19	51244	2.2100	0.0043	chromosome 3 open reading frame 19
224	ILF3	3609	2.2100	0.0741	interleukin enhancer binding factor 3, 90kDa
225	HSD17B2	3294	2.2100	0.0008	hydroxysteroid (17-beta) dehydrogenase 2
226	OPN3	23596	2.2100	0.0003	opsin 3
227	MMD2	221938	2.2100	0.0036	monocyte to macrophage differentiation-associated 2
228	CNST	163882	2.2100	0.0079	consortin, connexin sorting protein
229	AHNAK2	113146	2.2100	0.0073	AHNAK nucleoprotein 2
230	CERS4	79603	2.2000	0.0014	ceramide synthase 4
231	UROS	7390	2.2000	0.0130	uroporphyrinogen III synthase
232	HSF1	3297	2.2000	0.0127	heat shock transcription factor 1
233	FDCSP	260436	2.2000	0.0001	follicular dendritic cell secreted protein
234	STAC3	246329	2.2000	0.0020	SH3 and cysteine rich domain 3
235	ACOT9	23597	2.2000	0.0108	acyl-CoA thioesterase 9
236	RILPL2	196383	2.2000	0.0051	Rab interacting lysosomal protein-like 2
237	FAM57B	83723	2.1900	0.0367	family with sequence similarity 57, member B
238	ACTG1	71	2.1900	0.0063	actin, gamma 1
239	ACSL5	51703	2.1900	0.0028	acyl-CoA synthetase long-chain family member 5
240	MT1X	4501	2.1900	0.0015	metallothionein 1X
241	GPR183	1880	2.1900	0.0092	G protein-coupled receptor 183
242	ZNF425	155054	2.1900	0.0011	zinc finger protein 425
243	COL10A1	1300	2.1900	0.0066	collagen, type X, alpha 1
244	RPUSD4	84881	2.1800	0.0084	RNA pseudouridylate synthase domain containing 4
245	TBC1D2	55357	2.1800	0.0065	TBC1 domain family, member 2
246	NGEF	25791	2.1800	0.0010	neuronal guanine nucleotide exchange factor
247	KIAA0556	23247	2.1800	0.0136	KIAA0556
248	CSNK2A1	1457	2.1800	0.0101	casein kinase 2, alpha 1 polypeptide
249	PODN	127435	2.1800	0.0215	podocan
250	RFXANK	8625	2.1700	0.0288	regulatory factor X-associated ankyrin-containing protein
251	TMEM87B	84910	2.1700	0.0409	transmembrane protein 87B
252	TSG101	7251	2.1700	0.0177	tumor susceptibility gene 101
253	S100A13	6284	2.1700	0.0048	S100 calcium binding protein A13
254	FBLIM1	54751	2.1700	0.0155	filamin binding LIM protein 1
255	IDH1	3417	2.1700	0.0160	isocitrate dehydrogenase 1 (NADP+), soluble
256	HPCAL1	3241	2.1700	0.0040	hippocalcin-like 1
257	TRAPPC3	27095	2.1700	0.0153	trafficking protein particle complex 3
258	FKBP4	2288	2.1700	0.0124	FK506 binding protein 4, 59kDa
259	SFTA1P	207107	2.1700	0.0002	surfactant associated 1, pseudogene
260	TNK2	10188	2.1700	0.0617	tyrosine kinase, non-receptor, 2
261	PDCD5	9141	2.1600	0.0124	programmed cell death 5
262	TUFT1	7286	2.1600	0.0046	tuftelin 1
263	C16ORF58	64755	2.1600	0.0303	chromosome 16 open reading frame 58
264	GHRL	51738	2.1600	0.0034	ghrelin/obestatin prepropeptide
265	METTL13	51603	2.1600	0.0246	methyltransferase like 13
266	SPATA8	145946	2.1600	0.0047	spermatogenesis associated 8
267	CRYBB2	1415	2.1600	0.0021	crystallin, beta B2
268	FAM120B	84498	2.1500	0.0041	family with sequence similarity 120B
269	C21ORF33	8209	2.1500	0.0273	chromosome 21 open reading frame 33
270	C11ORF95	65998	2.1500	0.0021	chromosome 11 open reading frame 95
271	CSTB	1476	2.1500	0.0178	cystatin B (stefin B)
272	KCTD11	147040	2.1500	0.0018	potassium channel tetramerisation domain containing 11
273	MED8	112950	2.1500	0.0098	mediator complex subunit 8
274	MRC2	9902	2.1400	0.0377	mannose receptor, C type 2
275	SART3	9733	2.1400	0.0418	squamous cell carcinoma antigen recognized by T cells 3
276	NIPA2	81614	2.1400	0.0232	non imprinted in Prader-Willi/Angelman syndrome 2
277	HPS6	79803	2.1400	0.0031	Hermansky-Pudlak syndrome 6
278	B3GNT4	79369	2.1400	0.0556	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4
279	MRPS5	64969	2.1400	0.0119	mitochondrial ribosomal protein S5
280	AFAP1	60312	2.1400	0.0071	actin filament associated protein 1
281	TIMMDC1	51300	2.1400	0.0355	translocase of inner mitochondrial membrane domain containing 1
282	GTF2A1	2957	2.1400	0.0062	general transcription factor IIA, 1, 19/37kDa
283	TMEM106A	113277	2.1400	0.0041	transmembrane protein 106A
284	IRF9	10379	2.1400	0.0342	interferon regulatory factor 9
285	SCAMP1	9522	2.1300	0.0409	secretory carrier membrane protein 1
286	C21ORF56	84221	2.1300	0.0010	chromosome 21 open reading frame 56
287	MRPS12	6183	2.1300	0.0592	mitochondrial ribosomal protein S12
288	BBS2	583	2.1300	0.0543	Bardet-Biedl syndrome 2
289	ZNF319	57567	2.1300	0.0007	zinc finger protein 319
290	PTK2	5747	2.1300	0.0059	PTK2 protein tyrosine kinase 2
291	MSH4	4438	2.1300	0.0003	mutS homolog 4 (E. coli)
292	DNASE1L1	1774	2.1300	0.0096	deoxyribonuclease I-like 1
293	SIX5	147912	2.1300	0.0231	SIX homeobox 5
294	PPT2	9374	2.1200	0.0049	palmitoyl-protein thioesterase 2
295	DCAF11	80344	2.1200	0.0156	DDB1 and CUL4 associated factor 11
296	LHPP	64077	2.1200	0.0125	phospholysine phosphohistidine inorganic pyrophosphate phosphatase
297	CBX6	23466	2.1200	0.0036	chromobox homolog 6
298	MLYCD	23417	2.1200	0.0060	malonyl-CoA decarboxylase
299	SPATA4	132851	2.1200	0.0033	spermatogenesis associated 4
300	ERLIN2	11160	2.1200	0.0111	ER lipid raft associated 2
301	TNFSF13B	10673	2.1200	0.0222	tumor necrosis factor (ligand) superfamily, member 13b
302	ADIPOQ	9370	2.1100	0.0004	adiponectin, C1Q and collagen domain containing
303	RNASEL	6041	2.1100	0.0274	ribonuclease L (2,5-oligoisoadenylate synthetase-dependent)
304	UVSSA	57654	2.1100	0.0021	UV-stimulated scaffold protein A
305	TMEM184C	55751	2.1100	0.0066	transmembrane protein 184C
306	RPRD1A	55197	2.1100	0.0563	regulation of nuclear pre-mRNA domain containing 1A
307	SHROOM2	357	2.1100	0.0018	shroom family member 2
308	HIST1H2AE	3012	2.1100	0.0017	histone cluster 1, H2ae
309	ANGPTL2	23452	2.1100	0.0358	angiopoietin-like 2
310	FCHSD1	89848	2.1000	0.0091	FCH and double SH3 domains 1
311	RPS6KB2	6199	2.1000	0.0333	ribosomal protein S6 kinase, 70kDa, polypeptide 2
312	RAB3B	5865	2.1000	0.0011	RAB3B, member RAS oncogene family
313	GNG4	2786	2.1000	0.0097	guanine nucleotide binding protein (G protein), gamma 4
314	BNIPL	149428	2.1000	0.0012	BCL2/adenovirus E1B 19kD interacting protein like
315	CRK	1398	2.1000	0.0121	v-crk sarcoma virus CT10 oncogene homolog (avian)
316	COX7C	1350	2.1000	0.0281	cytochrome c oxidase subunit VIIc
317	GALM	130589	2.1000	0.0033	galactose mutarotase (aldose 1-epimerase)
318	C10ORF32	119032	2.1000	0.0378	chromosome 10 open reading frame 32
319	GRAMD1A	57655	2.0900	0.0136	GRAM domain containing 1A
320	SLC43A2	124935	2.0900	0.0039	solute carrier family 43, member 2
321	SRP14	6727	2.0800	0.0164	signal recognition particle 14kDa (homologous Alu RNA binding protein)
322	ATP5G1	516	2.0800	0.0490	ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C1 (subunit 9)
323	FAM116B	414918	2.0800	0.0072	family with sequence similarity 116, member B
324	ZNF470	388566	2.0800	0.0011	zinc finger protein 470
325	FCGR3B	2215	2.0800	0.0031	Fc fragment of IgG, low affinity IIIb, receptor (CD16b)
326	ENDOG	2021	2.0800	0.0205	endonuclease G
327	NFAT5	10725	2.0800	0.0364	nuclear factor of activated T-cells 5, tonicity-responsive
328	CRB3	92359	2.0700	0.0238	crumbs homolog 3 (Drosophila)
329	ZNF701	55762	2.0700	0.0027	zinc finger protein 701
330	JAK1	3716	2.0700	0.0497	Janus kinase 1
331	IGFBP6	3489	2.0700	0.0172	insulin-like growth factor binding protein 6
332	LOC285556	285556	2.0700	0.0007	uncharacterized LOC285556
333	XPO7	23039	2.0700	0.0112	exportin 7
334	ERBB2	2064	2.0700	0.0152	v-erb-b2 erythroblastic leukemia viral oncogene homolog 2, neuro/glioblastoma derived oncogene homolog (avian)
335	DHRS9	10170	2.0700	0.0056	dehydrogenase/reductase (SDR family) member 9
336	SNAI2	6591	2.0600	0.0130	snail homolog 2 (Drosophila)
337	WDR45L	56270	2.0600	0.0086	WDR45-like
338	PCDHB2	56133	2.0600	0.0002	protocadherin beta 2
339	CHST15	51363	2.0600	0.0066	carbohydrate (N-acetylgalactosamine 4-sulfate 6-O) sulfotransferase 15
340	PLEKHG4	25894	2.0600	0.0007	pleckstrin homology domain containing, family G (with RhoGef domain) member 4
341	EFEMP1	2202	2.0600	0.0199	EGF containing fibulin-like extracellular matrix protein 1
342	PLA2G16	11145	2.0600	0.0020	phospholipase A2, group XVI
343	PLIN3	10226	2.0600	0.0296	perilipin 3
344	CTDSP2	10106	2.0600	0.0078	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2
345	IRX3	79191	2.0500	0.0003	iroquois homeobox 3
346	AHNAK	79026	2.0500	0.0185	AHNAK nucleoprotein
347	TAS2R14	50840	2.0500	0.0054	taste receptor, type 2, member 14
348	GSTA3	2940	2.0500	0.0018	glutathione S-transferase alpha 3
349	ATG4B	23192	2.0500	0.0080	autophagy related 4B, cysteine peptidase
350	SERPINB1	1992	2.0500	0.0213	serpin peptidase inhibitor, clade B (ovalbumin), member 1
351	CFD	1675	2.0500	0.0078	complement factor D (adipsin)
352	APCDD1L	164284	2.0500	0.0085	adenomatosis polyposis coli down-regulated 1-like
353	ADCY7	113	2.0500	0.0146	adenylate cyclase 7
354	CDC42EP3	10602	2.0500	0.0068	CDC42 effector protein (Rho GTPase binding) 3
355	NOC4L	79050	2.0400	0.0389	nucleolar complex associated 4 homolog (S. cerevisiae)
356	MAPKAPK3	7867	2.0400	0.0192	mitogen-activated protein kinase-activated protein kinase 3
357	ZNF10	7556	2.0400	0.0232	zinc finger protein 10
358	CCDC14	64770	2.0400	0.0570	coiled-coil domain containing 14
359	CBLN3	643866	2.0400	0.0055	cerebellin 3 precursor
360	ATP6V0A1	535	2.0400	0.0189	ATPase, H+ transporting, lysosomal V0 subunit a1
361	FAM155B	27112	2.0400	0.0090	family with sequence similarity 155, member B
362	FAM127B	26071	2.0400	0.0112	family with sequence similarity 127, member B
363	ZNF238	10472	2.0400	0.0020	zinc finger protein 238
364	PLCH2	9651	2.0300	0.0284	phospholipase C, eta 2
365	OSMR	9180	2.0300	0.0215	oncostatin M receptor
366	PAGE5	90737	2.0300	0.0036	P antigen family, member 5 (prostate associated)
